Season,League,Trans,YrAdj,FirstName,LastName,Pos,Team,GP,G,A,PTS,GC,WCe ,PIM,PlusMinus,Shots,PPG,PPA,SHG,SHA,ENG,SOShot,SOG,AGP,AG,AA,APTS,AGC,TmGP,TmG,TmA,ExpPts,ExpGC,PAX,GCAX
2003,NCAA-III,0.3,1.04,Shannon,Sylvester,F,Middlebury,28,10,10,20,8.3,6,,,,2,,2,,0,,,27,10,10,21,8.6,504,130,197,21.7,8.5,-1.7,-0.2
2004,NCAA-III,0.3,1.03,Shannon,Sylvester,F,Middlebury,29,6,16,22,8.5,6.6,,,,0,,0,,0,,,27,6,16,23,8.7,539,143,208,22.4,9.3,-0.4,-0.8
2005,NCAA-III,0.3,1.01,Shannon,Sylvester,F,Middlebury,28,13,17,30,13.2,9,,,,8,,0,,0,,,27,13,17,30,13.3,520,127,162,17.7,7.8,12.3,5.4
2006,NCAA-III,0.3,1.04,Shannon,Sylvester,F,Middlebury,29,16,18,34,14,10.2,,,,5,,1,,1,,,27,17,19,35,14.6,522,116,174,18.1,7.1,15.9,6.9
2001,NCAA-III,0.3,0.92,Tyanne,Sylvestre,F/D,Bethel,13,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,315,45,42,4.5,2.3,-4.5,-2.3
2014,NCAA-III,0.3,1.24,Abigail,Symes,F,William Smith,15,0,0,0,0,0,0,,,0,,0,,0,,,27,0,0,0,0,362,42,57,5.1,2.2,-5.1,-2.2
2011,NCAA-III,0.3,1.21,Brittany,Syms,F,Marian,20,1,4,5,2.2,1.5,2,,,0,,0,,0,,,27,1,5,6,2.7,376,40,46,5.5,2.6,-0.5,-0.4
2012,NCAA-III,0.3,1.23,Brittany,Syms,F,Marian,24,7,6,13,6.3,3.9,4,,,1,,0,,0,,,27,9,7,16,7.8,355,41,44,6.3,3,6.7,3.3
2013,NCAA-III,0.3,1.25,Brittany,Syms,F,Marian,22,1,1,2,1,0.6,2,,,1,,0,,0,,,27,1,1,3,1.2,462,47,51,5.8,2.8,-3.8,-1.8
2014,NCAA-III,0.3,1.24,Brittany,Syms,F,Marian,24,6,8,14,6.5,4.2,0,,,2,,0,,1,,,27,7,10,17,8,448,62,71,8.1,3.8,5.9,2.7
2001,NCAA-III,0.3,0.92,Erin,Syron,D,Mit,19,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,263,2,1,0.2,0.1,-0.2,-0.1
2004,NCAA-III,0.3,1.03,Danielle,Syrowik,C,Finlandia,21,10,12,22,9.6,6.6,,,,0,,0,,1,,,27,10,12,23,9.9,220,44,57,10,4.3,12,5.3
2005,NCAA-III,0.3,1.01,Danielle,Syrowik,C,Finlandia,21,9,6,15,6.7,4.5,,,,2,,2,,0,,,27,9,6,15,6.8,353,59,80,9.4,3.8,5.6,2.9
2006,NCAA-III,0.3,1.04,Danielle,Syrowik,C,Finlandia,23,5,11,16,6.3,4.8,,,,2,,0,,0,,,27,5,11,17,6.6,426,65,94,9.8,4.1,6.2,2.2
2007,NCAA-III,0.3,1.13,Danielle,Syrowik,C,Finlandia,25,7,14,21,8.2,6.3,18,,,1,,2,,0,,,27,8,16,24,9.3,335,49,73,9.8,4.1,11.2,4.1
2008,NCAA-III,0.3,1.16,Hannah,Systrom,F,Williams,25,2,8,10,3.9,3,6,,,0,,0,,0,,,27,2,9,12,4.6,392,58,79,10.4,4.6,-0.4,-0.6
2009,NCAA-III,0.3,1.16,Hannah,Systrom,F,Williams,25,4,8,12,5.1,3.6,10,,,2,,0,,0,,,27,5,9,14,5.9,407,61,80,10.1,4.5,1.9,0.6
2010,NCAA-III,0.3,1.24,Hannah,Systrom,F,Williams,22,2,2,4,1.8,1.2,10,,,2,,0,,0,,,27,2,2,5,2.2,368,40,51,6.6,2.9,-2.6,-1.1
2011,NCAA-III,0.3,1.21,Hannah,Systrom,F,Williams,24,3,5,8,3.3,2.4,18,,,1,,0,,0,,,27,4,6,10,4,436,60,84,9.5,4,-1.5,-0.7
2008,NCAA-III,0.3,1.16,Jill,Szandzik,D,Wayne State,32,2,14,16,5.4,4.8,6,,,2,,0,,0,,,27,2,16,19,6.2,576,115,184,11.1,4.4,4.9,0.9
2009,NCAA-III,0.3,1.16,Jill,Szandzik,D,Wayne State,31,3,9,12,4.7,3.6,24,,,1,,0,,0,,,27,3,10,14,5.5,505,61,86,5.9,2.5,6.1,2.2
2010,NCAA-III,0.3,1.24,Jill,Szandzik,D,Wayne State,31,3,17,20,6.9,6,24,,,2,,0,,0,,,27,4,21,25,8.5,446,58,92,6.5,2.7,13.5,4.1
2007,NCAA-III,0.3,1.13,Laura,Szwed,F,Utica,1,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,468,86,126,0.5,0.2,-0.5,-0.2
2008,NCAA-III,0.3,1.16,Laura,Szwed,F,Castleton,20,5,3,8,3.6,2.4,4,,,2,,0,,0,,,27,6,3,9,4.2,415,40,54,5.2,2.1,2.8,1.5
2009,NCAA-III,0.3,1.16,Laura,Szwed,F,Castleton,26,10,6,16,7.3,4.8,20,,,4,,0,,0,,,27,12,7,19,8.4,437,40,53,5.8,2.3,10.2,5
2010,NCAA-III,0.3,1.24,Laura,Szwed,F,Castleton,26,10,5,15,6.8,4.5,16,,,3,,0,,0,,,27,12,6,19,8.4,395,32,44,5.2,1.9,9.8,5
2003,NCAA-III,0.3,1.04,Stephanie,Szydlowski,D,Neumann,16,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,394,92,119,6,2.6,-6,-2.6
2009,NCAA-III,0.3,1.16,Alex,Szypryt,F,Oswego,21,2,1,3,1.4,0.9,2,,,0,,0,,0,,,27,2,1,3,1.6,449,48,64,6.4,2.7,-3.4,-1.3
2010,NCAA-III,0.3,1.24,Alex,Szypryt,F,Oswego,17,1,1,2,0.9,0.6,2,,,0,,1,,0,,,27,1,1,2,1.1,441,70,87,7.5,3.3,-5.5,-2.4
2015,NCAA-III,0.3,1.26,Ellie,Tabaka,F,St Thomas,25,2,9,11,3.8,3.3,8,,,0,,0,,0,,,27,3,11,14,4.7,486,78,127,12.6,4.9,-1.6,-1.2
2016,NCAA-III,0.3,1.22,Ellie,Tabaka,F,St Thomas,29,4,9,13,4.8,3.9,12,,,1,,0,,0,,,27,5,11,16,5.9,518,78,126,13.6,5.3,-0.6,-0.5
2010,NCAA-III,0.3,1.24,Jamie,Tabb,D,New England college,23,1,3,4,1.5,1.2,46,,,0,,0,,0,,,27,1,4,5,1.8,356,57,87,6.4,2.6,-2.4,-1.1
2011,NCAA-III,0.3,1.21,Jamie,Tabb,D,New England college,27,2,3,5,2,1.5,64,,,1,,0,,0,,,27,2,4,6,2.4,454,54,80,5.4,2.2,-0.4,-0.2
2012,NCAA-III,0.3,1.23,Jamie,Tabb,D,New England college,26,1,2,3,1.2,0.9,48,,,1,,0,,0,,,27,1,2,4,1.5,446,54,77,5.3,2.2,-2.3,-1
2013,NCAA-III,0.3,1.25,Jamie,Tabb,D,New England college,26,2,1,3,1.4,0.9,78,,,1,,0,,0,,,27,3,1,4,1.7,410,35,44,3.4,1.5,-0.4,-0.1
2004,NCAA-III,0.3,1.03,Kallie,Tabor,D,St Thomas,22,3,8,11,4.3,3.3,,,,1,,0,,1,,,27,3,8,11,4.4,488,136,196,10.1,4.2,0.9,0.1
2006,NCAA-III,0.3,1.04,Stephanie,Tack,F,St Thomas,1,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,486,91,112,0.5,0.2,-0.5,-0.2
2007,NCAA-III,0.3,1.13,Stephanie,Tack,F,St Thomas,18,1,0,1,0.5,0.3,4,,,0,,0,,0,,,27,1,0,1,0.6,486,102,143,11.3,4.7,-10.3,-4.2
2010,NCAA-III,0.3,1.24,Abby,Taffe,F,Concordia Mn,27,17,14,31,14.4,9.3,2,,,3,,3,,1,,,27,21,17,38,17.8,480,100,118,13.4,5.9,17.6,8.5
2011,NCAA-III,0.3,1.21,Abby,Taffe,F,Concordia Mn,26,15,16,31,13.5,9.3,2,,,6,,1,,1,,,27,18,19,38,16.4,468,85,113,11.8,4.9,19.2,8.6
2012,NCAA-III,0.3,1.23,Abby,Taffe,F,Concordia Mn,26,6,8,14,6.1,4.2,2,,,3,,0,,0,,,27,7,10,17,7.5,467,57,74,8.3,3.6,5.7,2.5
2013,NCAA-III,0.3,1.25,Abby,Taffe,F,Concordia Mn,26,3,4,7,3,2.1,2,,,2,,0,,0,,,27,4,5,9,3.7,481,53,72,8.1,3.4,-1.1,-0.5
2013,NCAA-III,0.3,1.25,Sara,Taffe,D,Hamilton,22,2,9,11,4.3,3.3,22,,,2,,0,,0,,,27,3,11,14,5.3,405,50,69,4.1,1.8,6.9,2.4
2014,NCAA-III,0.3,1.24,Sara,Taffe,D,Hamilton,23,3,8,11,4.5,3.3,10,,,1,,0,,0,,,27,4,10,14,5.6,428,48,63,3.8,1.7,7.2,2.8
2015,NCAA-III,0.3,1.26,Sara,Taffe,D,Hamilton,25,4,5,9,4,2.7,14,,,1,,0,,1,,,27,5,6,11,5.1,450,47,58,3.8,1.7,5.2,2.3
2016,NCAA-III,0.3,1.22,Sara,Taffe,D,Hamilton,23,2,4,6,2.4,1.8,14,,,2,,0,,0,,,27,2,5,7,3,434,48,68,4.1,1.7,1.9,0.7
2012,NCAA-III,0.3,1.23,McKenzie,Taggart,F,Stevenson,21,6,7,13,5.3,3.9,14,,,2,,1,,1,,,27,7,9,16,6.6,387,37,56,5.5,2.1,7.5,3.2
2013,NCAA-III,0.3,1.25,McKenzie,Taggart,F,Stevenson,23,14,11,25,11.2,7.5,56,,,8,,1,,0,,,27,18,14,31,14,419,58,76,7.6,3.1,17.4,8.1
2014,NCAA-III,0.3,1.24,McKenzie,Taggart,F,Stevenson,25,4,12,16,6.7,4.8,14,,,2,,0,,0,,,27,5,15,20,8.3,450,84,107,12.4,5.6,3.6,1.1
2015,NCAA-III,0.3,1.26,McKenzie,Taggart,F,Stevenson,26,7,18,25,10.4,7.5,20,,,1,,0,,0,,,27,9,23,31,13,486,111,145,15.7,7.1,9.3,3.3
2016,NCAA-III,0.3,1.22,Angeline,Taiariol,F,Neumann,25,2,2,4,1.7,1.2,18,,,0,,0,,0,,,27,2,2,5,2.1,395,59,80,10.9,4.6,-6.9,-2.9
2001,NCAA-III,0.3,0.92,Naho,Tajima,D,St Marys,3,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,494,109,143,1,0.4,-1,-0.4
2001,NCAA-III,0.3,0.92,Kate,Talbot,,St Michaels,20,1,5,6,2.8,1.8,,,,0,,0,,0,,,27,1,5,6,2.6,275,29,31,5.1,2.6,0.9,0.2
2002,NCAA-III,0.3,1,Kate,Talbot,F/D,St Michaels,23,1,2,3,1.2,0.9,,,,0,,0,,0,,,27,1,2,3,1.2,351,40,55,7.7,3.3,-4.7,-2.1
2003,NCAA-III,0.3,1.04,Kate,Talbot,F/D,St Michaels,22,3,7,10,3.9,3,,,,0,,0,,0,,,27,3,7,10,4,429,53,78,7.8,3.2,2.2,0.6
2004,NCAA-III,0.3,1.03,Kate,Talbot,F/D,St Michaels,24,2,2,4,1.8,1.2,,,,2,,0,,0,,,27,2,2,4,1.8,467,55,72,8,3.4,-4,-1.7
2016,NCAA-III,0.3,1.22,Samantha,Talmadge,D,Becker,26,4,3,7,3.2,2.1,16,,,2,,0,,0,,,27,5,4,9,3.9,461,46,58,3.9,1.7,3.1,1.5
2009,NCAA-III,0.3,1.16,Kelsey,Talty,F,Salve Regina,22,0,1,1,0.4,0.3,8,,,0,,0,,0,,,27,0,1,1,0.5,443,66,85,9.4,4.1,-8.4,-3.8
2010,NCAA-III,0.3,1.24,Kelsey,Talty,F,Salve Regina,21,0,2,2,0.9,0.6,8,,,0,,0,,0,,,27,0,2,2,1.1,447,57,66,7.2,3.4,-5.2,-2.5
2011,NCAA-III,0.3,1.21,Kelsey,Talty,F,Salve Regina,20,1,1,2,1,0.6,12,,,0,,0,,0,,,27,1,1,2,1.2,453,77,79,8.5,4.2,-6.5,-3.2
2012,NCAA-III,0.3,1.23,Kelsey,Talty,F,Salve Regina,26,3,3,6,2.5,1.8,14,,,1,,0,,0,,,27,4,4,7,3.1,456,84,125,14.7,5.9,-8.7,-3.4
2004,NCAA-III,0.3,1.03,Nicola,Tan,F,Mit,15,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,250,24,30,4.1,1.8,-4.1,-1.8
2005,NCAA-III,0.3,1.01,Nicola,Tan,F,Mit,13,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,229,30,39,5,2.2,-5,-2.2
2010,NCAA-III,0.3,1.24,Emily,Tang,D,Bowdoin,26,9,10,19,8.1,5.7,18,,,6,,0,,0,,,27,11,12,23,10,466,85,118,7.3,3,11.7,5.1
2011,NCAA-III,0.3,1.21,Emily,Tang,D,Bowdoin,26,2,6,8,3,2.4,22,,,1,,0,,0,,,27,2,7,10,3.6,450,72,109,7.1,2.9,0.9,0.1
2012,NCAA-III,0.3,1.23,Emily,Tang,D,Bowdoin,28,1,9,10,3.7,3,16,,,1,,0,,0,,,27,1,11,12,4.5,449,92,131,9.4,4,0.6,-0.4
2013,NCAA-III,0.3,1.25,Emily,Tang,D,Bowdoin,27,2,5,7,2.7,2.1,28,,,1,,0,,0,,,27,3,6,9,3.4,435,58,83,5.9,2.5,1.1,0.3
2012,NCAA-III,0.3,1.23,Katie,Tang,F/D,Colby,25,2,4,6,2.6,1.8,6,,,0,,0,,0,,,27,2,5,7,3.2,449,47,59,7.1,3.2,-1.1,-0.6
2013,NCAA-III,0.3,1.25,Katie,Tang,F/D,Colby,24,0,3,3,1,0.9,8,,,0,,0,,0,,,27,0,4,4,1.3,467,52,78,8.3,3.4,-5.3,-2.4
2014,NCAA-III,0.3,1.24,Katie,Tang,F/D,Colby,25,3,5,8,3.5,2.4,6,,,1,,0,,0,,,27,4,6,10,4.3,450,57,71,8.5,3.8,-0.5,-0.3
2015,NCAA-III,0.3,1.26,Katie,Tang,F/D,Colby,25,1,6,7,2.9,2.1,8,,,0,,0,,0,,,27,1,8,9,3.6,450,51,64,7.6,3.5,-0.6,-0.6
2014,NCAA-III,0.3,1.24,Beth,Tangen,F,Bethel,12,1,0,1,0.5,0.3,0,,,0,,0,,0,,,27,1,0,1,0.6,501,85,117,5.9,2.5,-4.9,-2
2005,NCAA-III,0.3,1.01,Emily,Tanguay,D,New England college,25,3,6,9,3.6,2.7,,,,0,,0,,0,,,27,3,6,9,3.6,484,118,167,10,4.2,-1,-0.6
2006,NCAA-III,0.3,1.04,Emily,Tanguay,D,New England college,25,4,5,9,3.9,2.7,,,,1,,0,,0,,,27,4,5,9,4,461,95,128,8.2,3.5,0.8,0.4
2007,NCAA-III,0.3,1.13,Emily,Tanguay,D,New England college,23,1,13,14,5.3,4.2,48,,,0,,0,,0,,,27,1,15,16,6,405,111,150,9.9,4.4,4.1,0.9
2008,NCAA-III,0.3,1.16,Emily,Tanguay,D,New England college,26,3,9,12,4.4,3.6,30,,,1,,0,,0,,,27,3,10,14,5.1,443,63,97,6.2,2.5,5.8,1.9
2003,NCAA-III,0.3,1.04,Meghan,Tanguay,F,Bowdoin,26,1,14,15,5.5,4.5,,,,1,,0,,0,,,27,1,15,16,5.7,452,128,179,21.4,9.3,-6.4,-3.8
2004,NCAA-III,0.3,1.03,Meghan,Tanguay,F,Bowdoin,21,3,5,8,3.4,2.4,,,,1,,0,,0,,,27,3,5,8,3.5,403,120,157,17.7,7.7,-9.7,-4.3
2005,NCAA-III,0.3,1.01,Meghan,Tanguay,F,Bowdoin,25,3,12,15,5.6,4.5,,,,1,,0,,0,,,27,3,12,15,5.6,418,118,173,21.1,8.8,-6.1,-3.2
2006,NCAA-III,0.3,1.04,Meghan,Tanguay,F,Bowdoin,26,3,6,9,3.9,2.7,,,,1,,1,,1,,,27,3,6,9,4,458,100,127,15.7,7,-6.7,-3.1
2012,NCAA-III,0.3,1.23,Emma,Tani,F,Trinity,24,7,10,17,6.7,5.1,6,,,1,,0,,1,,,27,9,12,21,8.3,450,59,92,9.1,3.5,7.9,3.2
2013,NCAA-III,0.3,1.25,Emma,Tani,F,Trinity,25,9,13,22,8.8,6.6,10,,,2,,0,,0,,,27,11,16,28,11,449,72,109,11.3,4.5,10.8,4.3
2014,NCAA-III,0.3,1.24,Emma,Tani,F,Trinity,25,10,18,28,10.9,8.4,16,,,1,,0,,1,,,27,12,22,35,13.4,455,90,138,14,5.6,14,5.3
2015,NCAA-III,0.3,1.26,Emma,Tani,F,Trinity,26,9,13,22,9.1,6.6,12,,,2,,2,,1,,,27,11,16,28,11.4,468,77,109,11.6,4.8,10.4,4.3
2011,NCAA-III,0.3,1.21,Madeline,Tank,F,Amherst,24,0,1,1,0.3,0.3,12,,,0,,0,,0,,,27,0,1,1,0.4,501,82,132,12.9,5,-11.9,-4.6
2012,NCAA-III,0.3,1.23,Madeline,Tank,F,Amherst,24,2,5,7,3,2.1,8,,,0,,0,,0,,,27,2,6,9,3.7,375,67,85,11.9,5.3,-4.9,-2.4
2013,NCAA-III,0.3,1.25,Madeline,Tank,F,Amherst,25,6,4,10,4.4,3,16,,,3,,0,,0,,,27,8,5,13,5.5,445,68,97,11.1,4.4,-1.1,0
2014,NCAA-III,0.3,1.24,Madeline,Tank,F,Amherst,26,5,5,10,4,3,12,,,2,,0,,1,,,27,6,6,12,4.9,459,79,135,14.7,5.3,-4.7,-1.4
2011,NCAA-III,0.3,1.21,Lauren,Tansey,D,Umass Boston,24,0,0,0,0,0,2,,,0,,0,,0,,,27,0,0,0,0,441,38,53,3.5,1.5,-3.5,-1.5
2012,NCAA-III,0.3,1.23,Lauren,Tansey,D,Umass Boston,26,0,1,1,0.4,0.3,2,,,0,,0,,0,,,27,0,1,1,0.5,484,60,68,4.8,2.3,-3.8,-1.8
2013,NCAA-III,0.3,1.25,Lauren,Tansey,D,Umass Boston,9,0,1,1,0.4,0.3,0,,,0,,0,,0,,,27,0,1,1,0.5,486,59,77,1.7,0.7,-0.7,-0.4
2014,NCAA-III,0.3,1.24,Lauren,Tansey,D,Umass Boston,13,1,0,1,0.5,0.3,0,,,1,,0,,0,,,27,1,0,1,0.6,485,72,105,3.2,1.3,-2.2,-0.8
2010,NCAA-III,0.3,1.24,Allie,Tanzer,F,Wisconsin Stevens point,27,17,10,27,12.7,8.1,20,,,5,,1,,0,,,27,21,12,33,15.7,438,72,85,10.2,4.3,16.8,8.4
2011,NCAA-III,0.3,1.21,Allie,Tanzer,F,Wisconsin Stevens point,27,8,7,15,6.8,4.5,12,,,3,,1,,0,,,27,10,8,18,8.2,470,69,87,10.3,4.5,4.7,2.3
2012,NCAA-III,0.3,1.23,Allie,Tanzer,F,Wisconsin Stevens point,28,12,4,16,7.9,4.8,16,,,6,,1,,0,,,27,15,5,20,9.7,498,83,89,11.2,5.1,4.8,2.8
2013,NCAA-III,0.3,1.25,Allie,Tanzer,F,Wisconsin Stevens point,29,8,10,18,8.3,5.4,16,,,1,,0,,0,,,27,10,13,23,10.4,518,73,85,10,4.6,8,3.7
2003,NCAA-III,0.3,1.04,Linda,Tao,F,Mit,1,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,199,16,18,0.2,0.1,-0.2,-0.1
2016,NCAA-III,0.3,1.22,Elaine,Tarasiewicz,D,Lebanon Valley,21,1,2,3,1.5,0.9,34,,,0,,0,,0,,,27,1,2,4,1.8,178,31,31,5.3,2.7,-2.3,-1.2
2008,NCAA-III,0.3,1.16,Hannah,Tardif,F,Nichols,25,2,6,8,3.1,2.4,0,,,1,,0,,0,,,27,2,7,9,3.6,440,30,43,4.7,2,3.3,1.1
2009,NCAA-III,0.3,1.16,Hannah,Tardif,F,Nichols,25,9,7,16,7.4,4.8,0,,,3,,0,,0,,,27,10,8,19,8.6,447,52,63,7,3.1,9,4.3
2010,NCAA-III,0.3,1.24,Hannah,Tardif,F,Nichols,24,1,1,2,1,0.6,0,,,0,,0,,0,,,27,1,1,2,1.2,425,26,26,3.6,1.8,-1.6,-0.8
2011,NCAA-III,0.3,1.21,Hannah,Tardif,F,Nichols,24,2,3,5,2.2,1.5,6,,,1,,0,,0,,,27,2,4,6,2.6,468,53,69,7.6,3.3,-2.6,-1.2
2005,NCAA-III,0.3,1.01,Sam,Tarnasky,F,Williams,26,0,1,1,0.4,0.3,,,,0,,0,,0,,,27,0,1,1,0.4,449,75,97,12.6,5.5,-11.6,-5.1
2006,NCAA-III,0.3,1.04,Sam,Tarnasky,F,Williams,1,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,367,80,110,0.6,0.3,-0.6,-0.3
2007,NCAA-III,0.3,1.13,Sam,Tarnasky,F,Williams,24,10,11,21,9.3,6.3,32,,,3,,1,,1,,,27,11,12,24,10.5,387,50,64,7.4,3.2,13.6,6.1
2008,NCAA-III,0.3,1.16,Sam,Tarnasky,F,Williams,23,5,9,14,5.8,4.2,20,,,4,,0,,0,,,27,6,10,16,6.7,392,58,79,9.2,4,4.8,1.8
2013,NCAA-III,0.3,1.25,Hannah,Tarr,F,University Of new england,25,0,1,1,0.4,0.3,2,,,0,,0,,0,,,27,0,1,1,0.5,431,56,75,9.6,4.1,-8.6,-3.8
2014,NCAA-III,0.3,1.24,Hannah,Tarr,D,Buffalo State,26,0,4,4,1.4,1.2,8,,,0,,0,,0,,,27,0,5,5,1.7,441,63,93,6.4,2.6,-2.4,-1.3
2015,NCAA-III,0.3,1.26,Hannah,Tarr,D,Buffalo State,25,0,3,3,1.1,0.9,4,,,0,,0,,0,,,27,0,4,4,1.3,461,72,101,6.5,2.8,-3.5,-1.7
2016,NCAA-III,0.3,1.22,Hannah,Tarr,D,Buffalo State,24,0,2,2,0.7,0.6,4,,,0,,0,,0,,,27,0,2,2,0.9,486,80,110,6.5,2.8,-4.5,-2
2003,NCAA-III,0.3,1.04,Shannon,Tarrant,D,Middlebury,27,11,14,25,10.1,7.5,,,,4,,0,,0,,,27,11,15,26,10.5,504,130,197,11.4,4.5,13.6,5.6
2004,NCAA-III,0.3,1.03,Shannon,Tarrant,D,Middlebury,30,7,20,27,10.4,8.1,,,,2,,0,,0,,,27,7,21,28,10.7,539,143,208,12.7,5.3,14.3,5
2005,NCAA-III,0.3,1.01,Shannon,Tarrant,D,Middlebury,28,5,18,23,9.6,6.9,,,,2,,0,,1,,,27,5,18,23,9.6,520,127,162,10.1,4.6,12.9,4.9
2006,NCAA-III,0.3,1.04,Shannon,Tarrant,D,Middlebury,27,10,21,31,12,9.3,,,,7,,0,,0,,,27,10,22,32,12.5,522,116,174,9.4,3.9,21.6,8.1
2013,NCAA-III,0.3,1.25,Stephanie,Tartaglino,F,Stevenson,10,1,2,3,1.3,0.9,15,,,1,,0,,0,,,27,1,3,4,1.6,419,58,76,3.8,1.7,-0.8,-0.4
2015,NCAA-III,0.3,1.26,Maddie,Tasha,D,Norwich,25,1,1,2,0.9,0.6,8,,,0,,0,,0,,,27,1,1,3,1.1,504,76,108,6.3,2.6,-4.3,-1.8
2016,NCAA-III,0.3,1.22,Maddie,Tasha,D,Norwich,22,0,7,7,2.1,2.1,8,,,0,,0,,0,,,27,0,9,9,2.6,521,127,209,9.7,3.7,-2.7,-1.6
2015,NCAA-III,0.3,1.26,Tia,Tassava,D,Canton,15,0,0,0,0,0,0,,,0,,0,,0,,,27,0,0,0,0,461,59,72,2.9,1.3,-2.9,-1.3
2016,NCAA-III,0.3,1.22,Tia,Tassava,D,Canton,5,0,0,0,0,0,0,,,0,,0,,0,,,27,0,0,0,0,480,72,90,1.1,0.5,-1.1,-0.5
2003,NCAA-III,0.3,1.04,Caitlin,Tassone,D,Southern Maine,16,0,0,0,0,0,,,,0,,0,,0,,,27,0,0,0,0,442,77,105,4.6,1.9,-4.6,-1.9
2004,NCAA-III,0.3,1.03,Caitlin,Tassone,D,Southern Maine,25,3,3,6,2.5,1.8,,,,0,,1,,0,,,27,3,3,6,2.6,443,52,77,4.9,2,1.1,0.6
2005,NCAA-III,0.3,1.01,Caitlin,Tassone,D,Southern Maine,26,4,2,6,2.7,1.8,,,,0,,0,,0,,,27,4,2,6,2.8,427,49,67,4.8,1.9,1.2,0.8
2006,NCAA-III,0.3,1.04,Caitlin,Tassone,D,Southern Maine,25,3,6,9,3.8,2.7,,,,2,,0,,0,,,27,3,6,9,4,463,60,78,4.9,2.2,4.1,1.6
2015,NCAA-III,0.3,1.26,Lexus,Tatge,F,Hamline,19,0,0,0,0,0,16,,,0,,0,,0,,,27,0,0,0,0,438,46,55,5.5,2.5,-5.5,-2.5
2008,NCAA-III,0.3,1.16,Sami,Tatu,D,St Anselm,27,2,5,7,2.9,2.1,18,,,1,,0,,0,,,27,2,6,8,3.3,486,88,118,7.8,3.4,-0.8,-0.5
2009,NCAA-III,0.3,1.16,Sami,Tatu,D,St Anselm,27,1,3,4,1.6,1.2,18,,,1,,0,,0,,,27,1,3,5,1.9,478,97,132,9,3.8,-5,-2.2
2010,NCAA-III,0.3,1.24,Sami,Tatu,D,St Anselm,27,1,13,14,5.2,4.2,12,,,1,,0,,0,,,27,1,16,17,6.4,474,106,147,9.6,4.2,4.4,1
2011,NCAA-III,0.3,1.21,Sami,Tatu,D,St Anselm,27,2,10,12,4.5,3.6,12,,,1,,0,,0,,,27,2,12,15,5.4,485,97,140,8.8,3.7,3.2,0.7
2015,NCAA-III,0.3,1.26,Maisie,Tatum-Borich,F,New England college,19,0,0,0,0,0,6,,,0,,0,,0,,,27,0,0,0,0,453,47,57,5.5,2.5,-5.5,-2.5
2016,NCAA-III,0.3,1.22,Maisie,Tatum-Borich,F,New England college,24,1,0,1,0.5,0.3,12,,,1,,0,,0,,,27,1,0,1,0.6,448,43,52,6.4,2.9,-5.4,-2.4
2006,NCAA-III,0.3,1.04,Torrey,Taussig,F/D,Williams,25,7,7,14,6,4.2,,,,0,,0,,0,,,27,7,7,15,6.3,367,80,110,15.4,6.4,-1.4,-0.4
2007,NCAA-III,0.3,1.13,Torrey,Taussig,F/D,Williams,24,4,3,7,3.2,2.1,12,,,0,,0,,0,,,27,5,3,8,3.6,387,50,64,8.5,3.6,-1.5,-0.5
2008,NCAA-III,0.3,1.16,Torrey,Taussig,F/D,Williams,19,3,5,8,3.3,2.4,6,,,0,,0,,0,,,27,3,6,9,3.9,392,58,79,7.9,3.4,0.1,0
2009,NCAA-III,0.3,1.16,Torrey,Taussig,F/D,Williams,25,7,12,19,8.1,5.7,16,,,4,,0,,0,,,27,8,14,22,9.4,407,61,80,9.6,4.2,9.4,3.8
2011,NCAA-III,0.3,1.21,Jackie,Tavella,D,Colby,25,2,2,4,1.8,1.2,38,,,1,,0,,0,,,27,2,2,5,2.2,433,33,42,2.9,1.3,1.1,0.5
2012,NCAA-III,0.3,1.23,Jackie,Tavella,D,Colby,25,2,2,4,1.8,1.2,22,,,1,,0,,0,,,27,2,2,5,2.2,449,47,59,4,1.8,0,0
2013,NCAA-III,0.3,1.25,Jackie,Tavella,D,Colby,21,2,3,5,2,1.5,30,,,1,,1,,0,,,27,3,4,6,2.5,467,52,78,3.9,1.6,1.1,0.4
2014,NCAA-III,0.3,1.24,Jackie,Tavella,D,Colby,24,3,2,5,2.3,1.5,18,,,3,,0,,0,,,27,4,2,6,2.8,450,57,71,4.6,2,0.4,0.3
2003,NCAA-III,0.3,1.04,Abigail,Taylor,F,Williams,24,12,8,20,8.7,6,,,,1,,0,,0,,,27,12,8,21,9,445,105,158,16.6,6.4,3.4,2.3
2004,NCAA-III,0.3,1.03,Abigail,Taylor,F,Williams,26,5,7,12,5.1,3.6,,,,0,,0,,0,,,27,5,7,12,5.3,468,85,114,13.2,5.6,-1.2,-0.5
